cust,pin_pkg,prod_id,bd_id,Location,Original ENT(08:30),Original ENT(11:00),Allocate ENT,Output plan
WINBOND,TSOP2-66ME,066TNAB040,AAB066TN1004A,TB-U,0,0,2,6906
WINBOND,VFBGA54B4,054NBAB002,AAB054NB2001A,TA,1.0,0,1,0
WINBOND,VFBGA60B4L,060NRAB001,AB060NR1001A,TA,3.0,3.0,7,45390
WINBOND,VFBGA60B4L,060NRAB001,AB060NR1001A,TA-3,0,0,3,28252
WINBOND,VFBGA60B4L,060NRAB005,AAB060NR1004B,TA,0,0,1,11144
WINBOND,VFBGA60B4L,060NRAB005,AAB060NR1004B,TA-2,8.0,8.0,8,0
WINBOND,VFBGA60B4L,060NRAB010,AAB060NR1006A,TA,1.0,1.0,1,0
WINBOND,VFBGA90B4L,090NCAB019,AAB090NC4006A,TA,3.0,3.0,4,3809
ZJP,FBGA-84UC(2),084UCYZ002,AYZ084CC2002A,TA,14.0,11.0,14,0
ZJP,FBGA-96UEF,096EFYZ001,AYZ096EF2001A,TA,8.0,8.0,19,81254
