CUSTOMER,Pin-pkg,Prod_ID,Bond ID,TA/TB,entity,Lot amount,,
ChipMOS,QFN-20YU2D,020YUNI024,ANI020YU1005C,TB-I,BBA11,1,,
ChipMOS,QFN-20YU2D,020YUNI024,ANI020YU1005C,TB-I,BBA25,2,,
ChipMOS,QFN-36AB1,036ABBW009,ABW036AB1004A,TB-B,BBF61,2,,
ChipMOS,TSOP1-48/48M,048TPAW054,AAW048TP1026E,TA,BB446,1,,
ChipMOS,TSOP1-48/48M,048TPAW054,AAW048TP1026E,TA,BB582,1,,
ChipMOS,TSOP1-48AM,048TWAB012,AAB048TW2006A,TA,BB579,1,,
ChipMOS,TSOP1-48AM,048TWAB012,AAB048TW2006A,TA-2,BB717,1,,
ChipMOS,TSOP1-48AM,048TWMS080,AMS048TW1065A,TA,BB583,1,,
ChipMOS,TSOP2-54ME,054TNAB036,AAB054TN1005A,TA,BB484,1,,
ChipMOS,VFBGA90B4L,090NCAB019,AAB090NC4006A,TA,BB482,1,,
DIALOG,QFN-20YU2D,020YUNI024,ANI020YU1005C,TB-I,BBA09,9,,
DIALOG,QFN-20YU2D,020YUNI024,ANI020YU1005C,TB-I,BBA11,10,,
DIALOG,QFN-20YU2D,020YUNI024,ANI020YU1005C,TB-I,BBA25,8,,
EMC,FPSSLGA34VBV,0345JHQ001,AHQ0345J1001A,TB-R,BBR12,1,,
EMC,FPSSLGA34VBV,0345JHQ001,AHQ0345J1001A,TB-R,BBR19,1,,
EMC,FPSSLGA34VBV,0345JHQ001,AHQ0345J1001A,TB-R,BBR24,1,,
EMC,FPSSLGA41FRV,0415LHQ012,AHQ0415L1003B,TB-R,BBR14,2,,
EMC,FPSSLGA41FRV,0415LHQ012,AHQ0415L1003B,TB-R,BBR20,1,,
EMC,FPSSLGA41FRV,0415LHQ012,AHQ0415L1003B,TB-R,BBR41,1,,
EMC,FPSSLGA41FRV,0415LHQ012,AHQ0415L1003B,TB-R,BBR42,2,,
EMC,FPSSLGA41FRV,0415LHQ012,AHQ0415L1003B,TB-R,BBR43,1,,
EMC,FPSTLGA44tBV,0442JHQ015,AHQ0442J3003A,TB-IP,BBS10,1,,
EMC,FPSTLGA44tBV,0442JHQ016,AHQ0442J3003A,TB-I,BBA02,4,,
EMC,FPSTLGA44tBV,0442JHQ016,AHQ0442J3003A,TB-I,BBA07,4,,
EMC,FPSTLGA44tBV,0442JHQ016,AHQ0442J3003A,TB-I,BBA08,4,,
EMC,FPSTLGA44tBV,0442JHQ016,AHQ0442J3003A,TB-I,BBA13,3,,
EMC,FPSTLGA44tBV,0442JHQ016,AHQ0442J3003A,TB-I,BBA17,3,,
EMC,FPSTLGA44tBV,0442JHQ016,AHQ0442J3003A,TB-I,BBA20,3,,
EMC,FPSTLGA44tBV,0442JHQ016,AHQ0442J3003A,TB-I,BBA24,3,,
