route,wlot_lot_number,wlot_crt_dat_al_1,pin_package,wlot_prod,wlot_qty_1,wlot_qty_2,wlot_oper,wlot_hold,cust_code,package_id,po_no,wlot_mvin_perfmd,wlot_actl_mvin_dt,wlot_actl_mvin_tm,wlot_dt_last_trans,wlot_tm_last_trans,wlot_hold_category,wlot_assy_lot,bd_id,urgent_code,wip_outplan_time
MCON57,P15AWAP30,MXIC,TSOP1-48/M2,048TPAW103,720,0,3130,N,AW,5480CNB-48TG000,4525717594-10,Y,20210417,85827,20210417,85827,,P15AWAP,AAW048TP1008B,,2021/4/17 09:27
QFNS482,P15ABAA02,WINBOND,DFN-08YM2D,008YMAB048,32000,0,2430,N,AB,KAG049900/DB/W25Q80DLUXIE{AG},OP6CMB06RJ,Y,20210417,85901,20210417,85901,,P15ABAA,AAB008YM2023A,,2021/4/17 13:17
BGAPRT02,PB5MSEY06,ChipMOS,MAT,0008WPRT005,3600,0,5050,N,FQ,6202CX-MAT,1105096,Y,20210417,85903,20210417,85920,,PB5MSEY,,,
BGAPRT02,PB5MSEY05,ChipMOS,MAT,0008WPRT005,3600,0,5050,N,FQ,6202CX-MAT,1105096,Y,20210417,85903,20210417,85920,,PB5MSEY,,,
BGAPRT02,PB5MSEY08,ChipMOS,MAT,0008WPRT005,3600,0,5050,N,FQ,6202CX-MAT,1105096,Y,20210417,85903,20210417,85920,,PB5MSEY,,,
BGAPRT02,PB5MSEY09,ChipMOS,MAT,0008WPRT005,1954,0,5050,N,FQ,6202CX-MAT,1105096,Y,20210417,85903,20210417,85920,,PB5MSEY,,,
BGAPRT02,PB5MSEY03,ChipMOS,MAT,0008WPRT005,3600,0,5050,N,FQ,6202CX-MAT,1105096,Y,20210417,85903,20210417,85920,,PB5MSEY,,,
BGAPRT02,PB5MSEY07,ChipMOS,MAT,0008WPRT005,3600,0,5050,N,FQ,6202CX-MAT,1105096,Y,20210417,85903,20210417,85920,,PB5MSEY,,,
BGAPRT02,PB5MSEY02,ChipMOS,MAT,0008WPRT005,3600,0,5050,N,FQ,6202CX-MAT,1105096,Y,20210417,85903,20210417,85920,,PB5MSEY,,,
BGAPRT02,PB5MSEY01,ChipMOS,MAT,0008WPRT005,3600,0,5050,N,FQ,6202CX-MAT,1105096,Y,20210417,85903,20210417,85920,,PB5MSEY,,,
BGAPRT02,PB5MSEY04,ChipMOS,MAT,0008WPRT005,3600,0,5050,N,FQ,6202CX-MAT,1105096,Y,20210417,85903,20210417,85920,,PB5MSEY,,,
BGA248,P15MSHK04,MTI,FBGA-96UEC,096ECMS003,6541,0,2430,N,MS,V89C JT1X16 C753EE,1106879,Y,20210417,85924,20210417,85924,,P15MSHK,AMS096EC1002A,,2021/4/17 10:11
CON339,P11ASAZ10,EliteMT,TSOP2-66CME,066TSAS015,2880,0,2310,N,AS,QM13S2561616AS1AM{M68X4},MT2021030456,Y,20210417,85931,20210417,85931,,P11ASAZ,AAS066TS1005B,,2021/4/17 09:21
QFNS243,P15AWGG20,MXIC,DFN-08Y62D,008Y6AW028,8320,0,2200,N,AW,6699S-087U10ITKSH9{AGS},4525718744-20,Y,20210417,85949,20210417,85949,,P15AWGG,AAW008Y62014A,,2021/4/17 17:09
MBGA929,P12HQHV14,EMC,FPSTLGA44tBV,0442JHQ015,2230,0,2310,N,HQ,FSA80STH001USA{MXXX-120}{GPM},GO202103325,Y,20210417,90001,20210417,90001,,P12HQHV,AHQ0442J3003A,,
CON47,P14ABNM15,WINBOND,TSOP1-48AM,048TWAB012,2160,0,2200,N,AB,UAG056/DB/W29N01HVSINF,OP6CMB06O3,Y,20210417,90005,20210417,90005,,P14ABNM,AAB048TW2006A,,2021/4/17 12:50
BGA40,P15ABIX05,WINBOND,FBGA60UEM2-1,060EMAB003,7597,0,2320,N,AB,GAA108/LN/W9751G8NB-25,OP6CMB077O,Y,20210417,90005,20210417,90005,,P15ABIX,AAB060EM2002A,6,
MQFNS040,P14ABD303,WINBOND,STDFN-08YQ2A,008YQAB090,3237,0,2200,N,AB,AAG046902/IG/W25R256JVEIN,OP6CMB06K8,Y,20210417,90022,20210417,90022,,P14ABD3,AAB008YQ2039B,,2021/4/17 15:58
BGA735,P14ASCR01,EliteMT,FBGA-96UEL,096ELAS038,5821,0,2320,N,AS,M15T4G16256AS1AG{GVNF2},MT2021040065,Y,20210417,90023,20210417,90023,,P14ASCR,AAS096EL1007A,,
MAT4,P16SS45,HOSIN,MAT,0008WSS011,13,9596,2030,N,SS,SUBMATWSS011,21033130,Y,20210417,90027,20210417,90027,,P16SS45,,,2021/4/17 09:19
QFNS243,P15AWE108,MXIC,DFN-08YM2D,008YMAW017,32000,0,6008,N,AW,6697H-087S10ITS999,4525718224-10,Y,20210417,90030,20210417,90030,,P15AWE1,AAW008YM1012A,,
CON257,P14ABMU25,WINBOND,TSOP2-54ME,054TNAB037,2880,0,2430,N,AB,UAA079/LS/W9812G6KH-6,OP6CMB07P0,Y,20210417,90045,20210417,90045,,P14ABMU,AAB054TN1004A,,2021/4/17 09:18
CON20,P13MSEA03,MTI,TSOP1-48AM,048TWMS067,4320,0,2450,N,MS,M68M1WP1CMS3425,1096300,Y,20210417,90057,20210417,90057,,P13MSEA,AMS048TW1057A,,2021/4/17 09:01
MCON57,P15AWAP32,MXIC,TSOP1-48/M2,048TPAW103,720,0,3130,N,AW,5480CNB-48TG000,4525717594-10,Y,20210417,90107,20210417,90107,,P15AWAP,AAW048TP1008B,,2021/4/17 09:29
MAT4,P16AW3M,MXIC,MAT,0008WAW097,13,28839,2040,N,AW,SUBMATWAW098,,Y,20210417,90116,20210417,90116,,P16AW3M,,,2021/4/17 16:14
MBGA192,P15AWCK24,MXIC,SSLGA16DOU,016D5AW011,1198,0,2130,N,AW,5464AXB-16GG000,4525717959-10,Y,20210417,90124,20210417,90124,,P15AWCK,AAW016D53004A,,2021/4/17 09:52
QFNS243,P15AWCT22,MXIC,DFN-08Y62D,008Y6AW024,11088,0,2302,N,AW,6703F0249-087U12IO{Ag LF},4525718000-40,Y,20210417,90132,20210417,90132,,P15AWCT,AAW008Y62015A,,
CON257,P14ABMU12,WINBOND,TSOP2-54ME,054TNAB037,2880,0,2430,N,AB,UAA079/LS/W9812G6KH-6,OP6CMB07P0,Y,20210417,90134,20210417,90134,,P14ABMU,AAB054TN1004A,,2021/4/17 09:18
MBGA434,P13NVSL07,PHISON,STBGA345FAV,345XTNV047,774,0,2200,N,NV,PC7800490Q-00000-00000{SSD},5S1-210322011,Y,20210417,90138,20210417,90138,,P13NVSL,ANV345XTE001A,,2021/4/17 20:35
MCON57,P15AWAP31,MXIC,TSOP1-48/M2,048TPAW103,720,0,3130,N,AW,5480CNB-48TG000,4525717594-10,Y,20210417,90141,20210417,90141,,P15AWAP,AAW048TP1008B,,2021/4/17 09:30
QFNS482,P16ABB717,WINBOND,DFN-08Y62D,008Y6AB024,8320,0,2070,N,AB,KAG052140/DB/W25Q20EWUL10{AG},OP6CMB07BC,Y,20210416,12033,20210416,31725,,P16ABB7,AAB008Y62010A,,
QFNS482,P16ABB718,WINBOND,DFN-08Y62D,008Y6AB024,8320,0,2070,N,AB,KAG052140/DB/W25Q20EWUL10{AG},OP6CMB07BC,Y,20210416,12033,20210416,31725,,P16ABB7,AAB008Y62010A,,
QFNS482,P16ABB7,WINBOND,DFN-08Y62D,008Y6AB024,0,5,2070,N,AB,KAG052140/DB/W25Q20EWUL10{AG},OP6CMB07BC,Y,20210416,12033,20210416,31725,,P16ABB7,AAB008Y62010A,,2021/4/16 23:47
QFNS482,P16ABB719,WINBOND,DFN-08Y62D,008Y6AB024,8320,0,2070,N,AB,KAG052140/DB/W25Q20EWUL10{AG},OP6CMB07BC,Y,20210416,12033,20210416,31725,,P16ABB7,AAB008Y62010A,,
QFNS482,P16ABB720,WINBOND,DFN-08Y62D,008Y6AB024,2796,0,2070,N,AB,KAG052140/DB/W25Q20EWUL10{AG},OP6CMB07BC,Y,20210416,12033,20210416,31725,,P16ABB7,AAB008Y62010A,,
MBGA214,P15SSBF01,HOSIN,SSBGA153JAU,153XTSS007,3678,0,2200,N,SS,EMC-YMC-84APAL-008-01A52,21033130,Y,20210416,12436,20210416,12436,,P15SSBF,ASS153XT9006A,,2021/4/17 07:59
MBGA214,P15SSB704,HOSIN,SSBGA153JAU,153XTSS007,3602,0,2200,N,SS,EMC-YMC-84APAL-008-01A52,21033130,Y,20210416,12831,20210416,12831,,P15SSB7,ASS153XT9006A,,2021/4/17 07:25
MBGA929,P15HQKT151,EMC,FPSTLGA44tBV,0442JHQ016,1052,0,2070,Y,HQ,FSA80STH001USA{MXXX-120-S}{GPM},GO202104010,Y,20210416,13237,20210417,65521,CM99,P15HQKT,AHQ0442J3003A,,
MBGA934,P13HQJR06,EMC,FPSSLGA28r6V,0282JHQ031,2296,0,2200,Y,HQ,FSA80SPH001USA{MXXX-120}{GPM},GO202103437,Y,20210416,15754,20210416,195243,WST,P13HQJR,AHQ0282J2006A,,
MBGA844,P15NVU316,PHISON,STBGA132G4U,132X2NV024,1185,0,2200,N,NV,30-P0QA0HPC32,513-210406002,Y,20210416,20617,20210416,20617,,P15NVU3,ANV132X25006B,,2021/4/16 17:28
MBGA844,P15NVU729,PHISON,SSBGA132G4U,132X2NV113,1200,0,2070,N,NV,30-P0NA0HP926{800A},513-210406004,Y,20210416,20648,20210416,33424,,P15NVU7,ANV132X2A014A,,
MBGA844,P15NVU726,PHISON,SSBGA132G4U,132X2NV113,1200,0,2070,N,NV,30-P0NA0HP926{800A},513-210406004,Y,20210416,20648,20210416,33424,,P15NVU7,ANV132X2A014A,,
MBGA844,P15NVU736,PHISON,SSBGA132G4U,132X2NV113,1200,0,2070,N,NV,30-P0NA0HP926{800A},513-210406004,Y,20210416,20648,20210416,33424,,P15NVU7,ANV132X2A014A,,
MBGA844,P15NVU727,PHISON,SSBGA132G4U,132X2NV113,1200,0,2070,N,NV,30-P0NA0HP926{800A},513-210406004,Y,20210416,20648,20210416,33424,,P15NVU7,ANV132X2A014A,,
MBGA844,P15NVU730,PHISON,SSBGA132G4U,132X2NV113,1200,0,2070,N,NV,30-P0NA0HP926{800A},513-210406004,Y,20210416,20648,20210416,33424,,P15NVU7,ANV132X2A014A,,
MBGA844,P15NVU733,PHISON,SSBGA132G4U,132X2NV113,1200,0,2070,N,NV,30-P0NA0HP926{800A},513-210406004,Y,20210416,20648,20210416,33424,,P15NVU7,ANV132X2A014A,,
MBGA844,P15NVU740,PHISON,SSBGA132G4U,132X2NV113,333,0,2070,N,NV,30-P0NA0HP926{800A},513-210406004,Y,20210416,20648,20210416,33424,,P15NVU7,ANV132X2A014A,,
MBGA844,P15NVU724,PHISON,SSBGA132G4U,132X2NV113,1200,0,2070,N,NV,30-P0NA0HP926{800A},513-210406004,Y,20210416,20648,20210416,33424,,P15NVU7,ANV132X2A014A,,
MBGA844,P15NVU731,PHISON,SSBGA132G4U,132X2NV113,1200,0,2070,N,NV,30-P0NA0HP926{800A},513-210406004,Y,20210416,20648,20210416,33424,,P15NVU7,ANV132X2A014A,,
MBGA844,P15NVU728,PHISON,SSBGA132G4U,132X2NV113,1200,0,2070,N,NV,30-P0NA0HP926{800A},513-210406004,Y,20210416,20648,20210416,33424,,P15NVU7,ANV132X2A014A,,
MBGA844,P15NVU725,PHISON,SSBGA132G4U,132X2NV113,1200,0,2070,N,NV,30-P0NA0HP926{800A},513-210406004,Y,20210416,20648,20210416,33424,,P15NVU7,ANV132X2A014A,,
MBGA844,P15NVU735,PHISON,SSBGA132G4U,132X2NV113,1200,0,2070,N,NV,30-P0NA0HP926{800A},513-210406004,Y,20210416,20648,20210416,33424,,P15NVU7,ANV132X2A014A,,
MBGA844,P15NVU737,PHISON,SSBGA132G4U,132X2NV113,1200,0,2070,N,NV,30-P0NA0HP926{800A},513-210406004,Y,20210416,20648,20210416,33424,,P15NVU7,ANV132X2A014A,,
MBGA844,P15NVU721,PHISON,SSBGA132G4U,132X2NV113,1200,0,2070,N,NV,30-P0NA0HP926{800A},513-210406004,Y,20210416,20648,20210416,33424,,P15NVU7,ANV132X2A014A,,
MBGA844,P15NVU734,PHISON,SSBGA132G4U,132X2NV113,1200,0,2070,N,NV,30-P0NA0HP926{800A},513-210406004,Y,20210416,20648,20210416,33424,,P15NVU7,ANV132X2A014A,,
